chunk_id,pages_scanned,nonempty_pages,chars,A,B,C,layer_warnings,rockefeller_pages,malinowski_pages,anthropology_pages,social_science_pages,musicology_pages,archive_header_pages
001,179,144,142833,0,0,4,0,4,0,0,0,0,0
002,183,173,186682,0,0,6,0,0,0,0,3,3,0
003,90,80,73506,0,0,4,0,1,0,0,0,3,0
004,236,230,252339,0,0,0,0,0,0,0,0,0,0
005,173,158,186445,0,0,3,0,1,0,0,0,1,0
006,180,154,146141,0,0,0,0,0,0,0,0,0,0
007,147,139,376147,0,0,1,0,0,0,1,0,0,0
008,111,93,214600,0,0,8,0,0,0,3,4,1,0
009,102,101,156732,0,0,0,0,0,0,0,0,0,0
010,153,150,212121,0,0,1,0,1,0,0,0,0,0
011,200,198,239015,0,0,0,0,0,0,0,0,0,0
012,161,138,154163,0,0,7,0,0,0,0,1,0,0
013,215,191,269053,0,0,3,0,0,0,0,1,2,0
014,251,201,174771,0,0,9,0,6,0,0,1,1,0
015,90,81,126440,0,0,5,0,3,0,0,1,0,0
016,276,274,379067,0,0,0,0,0,0,0,0,0,0
017,228,207,265695,0,0,14,0,0,0,0,0,12,0
018,247,239,375013,0,0,6,0,2,0,0,2,2,0
019,167,152,233707,0,0,2,0,1,0,0,0,0,0
020,206,194,205073,0,0,4,0,0,0,4,0,0,0
021,235,230,463257,0,0,6,0,0,0,0,2,0,0
022,250,238,334657,0,0,2,0,0,0,0,0,2,0
023,187,176,397574,0,0,5,0,0,0,2,0,1,0
024,85,80,265294,0,0,7,0,0,0,4,0,3,0
025,246,218,79734,0,0,0,0,0,0,0,0,0,0
026,254,226,188208,0,0,4,0,0,0,1,1,1,0
027,223,176,216011,1,1,15,1,5,0,0,1,0,0
028,244,191,131562,0,0,8,0,6,0,0,0,1,0
029,240,170,209697,0,0,1,0,0,0,0,0,1,0
030,237,193,216753,0,0,4,0,2,0,0,1,0,0
031,247,206,181861,0,0,19,0,12,0,0,0,1,0
032,235,169,217518,0,0,3,0,0,0,1,1,0,0
033,236,175,223529,0,0,3,0,0,0,0,0,1,0
034,246,172,170350,0,0,4,0,0,0,0,2,0,0
035,231,159,169121,0,1,3,0,1,0,0,0,0,1
036,240,174,143662,0,0,2,0,0,0,0,1,0,0
037,243,174,146301,1,0,5,0,0,0,0,1,4,0
038,226,181,313123,0,0,11,0,0,0,0,0,5,0
039,236,179,201238,0,0,1,0,0,0,0,0,0,0
040,243,174,155744,0,0,0,0,0,0,0,0,0,0
041,236,174,209018,0,0,2,0,0,0,1,0,0,0
042,222,179,259400,0,0,4,0,0,0,0,0,1,0
043,212,172,265890,0,0,2,0,0,0,1,0,0,0
044,216,183,263453,0,0,4,0,0,0,0,0,0,0
045,236,187,188185,0,0,1,0,0,0,0,0,0,0
046,213,165,260726,0,0,2,0,0,0,1,0,1,0
047,228,171,177169,0,0,3,0,0,0,1,0,2,0
048,227,190,241081,0,0,0,0,0,0,0,0,0,0
049,229,169,164929,0,0,2,0,0,0,1,0,0,0
050,215,174,155795,0,0,0,0,0,0,0,0,0,0
051,203,187,519314,0,0,1,0,0,0,0,0,0,0
052,235,179,204052,0,0,2,0,0,0,0,0,1,0
053,234,177,210252,0,0,0,0,0,0,0,0,0,0
054,228,176,168234,0,0,3,0,1,0,1,0,0,0
055,217,178,165912,0,0,5,0,1,0,0,0,1,0
056,225,187,185056,0,0,6,0,0,0,0,3,0,0
057,244,236,223785,0,0,1,0,0,0,0,0,0,0
058,213,194,249922,0,0,4,0,0,0,1,0,0,0
059,262,213,197899,0,0,16,0,8,0,0,1,5,0
060,250,196,276632,0,0,8,0,3,0,2,0,0,0
061,234,198,232569,0,0,9,0,1,0,1,1,0,0
062,235,211,215752,0,1,3,0,2,0,0,0,1,0
063,233,208,300019,0,1,7,1,4,0,2,2,0,0
064,229,189,192826,0,0,6,0,3,0,0,0,0,0
065,228,171,166921,0,0,13,0,1,0,0,1,1,0
066,226,184,182003,0,0,5,0,0,0,0,1,3,0
067,223,176,196588,1,0,11,0,1,3,3,5,2,0
068,221,177,174224,5,7,3,2,3,0,0,1,3,2
069,214,165,135893,0,0,5,0,0,0,0,4,0,0
070,186,160,202006,0,4,7,0,0,0,1,5,1,4
071,186,170,274301,0,0,3,0,0,0,3,0,0,0
