global_page,page_id,chunk_id,page_in_chunk,chars,nonempty,quality_flags,inventory_refs,dates_1920_1935,years_1920_1935,entities_exact,fuzzy_candidates,project_terms,doc_signals,review_tier,review_reasons,layer_warning,manual_note
11542,chunk_056:p0012,056,12,852,True,,,2/1/2009,,,,social_science;institution,,C,research_signal,False,
11569,chunk_056:p0039,056,39,58,True,,,,,,,social_science,,C,research_signal,False,
11594,chunk_056:p0064,056,64,454,True,,,,,,,social_science,,C,research_signal,False,
11603,chunk_056:p0073,056,73,6139,True,,,,,Huizinga,,,,C,research_signal,False,
11613,chunk_056:p0083,056,83,1395,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
11715,chunk_056:p0185,056,185,1701,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
11808,chunk_057:p0053,057,53,510,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
12005,chunk_058:p0006,058,6,1693,True,,,,,,,anthropology,,C,research_signal,False,
12072,chunk_058:p0073,058,73,723,True,,,,1923;1930,,,memorandum,,C,research_signal,False,
12120,chunk_058:p0121,058,121,1904,True,,,,,,Van Eerde|van derde|s1i0d0,,,C,research_signal,False,
12124,chunk_058:p0125,058,125,2022,True,,,,,,Nieuwenhuis|nieuw huis|s1i0d1,,,C,research_signal,False,
12218,chunk_059:p0006,059,6,1230,True,,,,,,,musicology,,C,research_signal,False,
12231,chunk_059:p0019,059,19,1203,True,,,,,,,musicology,,C,research_signal,False,
12238,chunk_059:p0026,059,26,1225,True,,,,,,,musicology,,C,research_signal,False,
12239,chunk_059:p0027,059,27,1207,True,,,,,,,musicology,,C,research_signal,False,
12240,chunk_059:p0028,059,28,1181,True,,,,,,,musicology,,C,research_signal,False,
12330,chunk_059:p0118,059,118,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
12334,chunk_059:p0122,059,122,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
12337,chunk_059:p0125,059,125,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
12348,chunk_059:p0136,059,136,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
12352,chunk_059:p0140,059,140,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
12370,chunk_059:p0158,059,158,60,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
12374,chunk_059:p0162,059,162,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
12378,chunk_059:p0166,059,166,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
12382,chunk_059:p0170,059,170,3568,True,,,,,Huizinga,,,,C,research_signal,False,
12459,chunk_059:p0247,059,247,1594,True,html_scaffolding_removed,,,,,,social_science,,C,research_signal,False,
12471,chunk_059:p0259,059,259,1888,True,html_scaffolding_removed;ocr_repetition_cleaned,,,,Huizinga,,,addressed_to_huizinga,C,research_signal,False,
12500,chunk_060:p0026,060,26,1491,True,html_scaffolding_removed,,,,Rockefeller,,,report_or_memorandum,C,research_signal,False,
12541,chunk_060:p0067,060,67,1101,True,html_scaffolding_removed,,,,,,anthropology,report_or_memorandum,C,research_signal,False,
12543,chunk_060:p0069,060,69,1913,True,html_scaffolding_removed,,,,,,anthropology,,C,research_signal,False,
12550,chunk_060:p0076,060,76,1930,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
12587,chunk_060:p0113,060,113,2363,True,html_scaffolding_removed,,,,Rockefeller,,,,C,research_signal,False,
12663,chunk_060:p0189,060,189,686,True,html_scaffolding_removed,,,,Rockefeller,,,,C,research_signal,False,
12670,chunk_060:p0196,060,196,1234,True,html_scaffolding_removed,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
12719,chunk_060:p0245,060,245,717,True,,,21 Sep 1895;3 Oct 1897;23 April 1897;5 April 1895;21 February 1896;26 Juni 1895,,Huizinga,,,,C,research_signal,False,
12746,chunk_061:p0022,061,22,1145,True,html_scaffolding_removed,,,,,,social_science,,C,research_signal,False,
12766,chunk_061:p0042,061,42,850,True,html_scaffolding_removed,,,,Huizinga,,,addressed_to_huizinga,C,research_signal,False,
12779,chunk_061:p0055,061,55,2193,True,,,,,Rockefeller,,,,C,research_signal,False,
12841,chunk_061:p0117,061,117,1914,True,html_scaffolding_removed;ocr_repetition_cleaned,,,,Huizinga,,,,C,research_signal,False,
12890,chunk_061:p0166,061,166,1101,True,,,,,Huizinga,,,,C,research_signal,False,
12902,chunk_061:p0178,061,178,1275,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
12912,chunk_061:p0188,061,188,789,True,html_scaffolding_removed,,,,,,anthropology,,C,research_signal,False,
12917,chunk_061:p0193,061,193,839,True,,,,,Huizinga,,,,C,research_signal,False,
12920,chunk_061:p0196,061,196,630,True,html_scaffolding_removed,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
13084,chunk_062:p0126,062,126,771,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
13140,chunk_062:p0182,062,182,423,True,,,,,,,musicology,,C,research_signal,False,
13180,chunk_062:p0222,062,222,1153,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
13191,chunk_062:p0233,062,233,608,True,,,,1922;1932,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,B,rockefeller_letterhead_with_1932_1933,False,
13195,chunk_063:p0002,063,2,413,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
13205,chunk_063:p0012,063,12,402,True,html_scaffolding_removed,,,1928,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
13208,chunk_063:p0015,063,15,1987,True,ocr_repetition_cleaned,,,,,,anthropology,,C,research_signal,False,
13211,chunk_063:p0018,063,18,418,True,html_scaffolding_removed,,,1933,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,B,rockefeller_letterhead_with_1932_1933,False,
13215,chunk_063:p0022,063,22,1086,True,html_scaffolding_removed,,,1920,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial;anthropology,rockefeller_letterhead_or_text,C,research_signal;possible_letterhead_reuse_or_ocr_layering,True,
13243,chunk_063:p0050,063,50,3667,True,,,,,,,social_science,,C,research_signal,False,
13281,chunk_063:p0088,063,88,1797,True,ocr_repetition_cleaned,,,,,,social_science,,C,research_signal,False,
13374,chunk_063:p0181,063,181,1771,True,html_scaffolding_removed;ocr_repetition_cleaned,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
13428,chunk_064:p0002,064,2,646,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
13449,chunk_064:p0023,064,23,1084,True,html_scaffolding_removed,,21.10.2000,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
13505,chunk_064:p0079,064,79,994,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
13527,chunk_064:p0101,064,101,1436,True,ocr_repeat_run_cleaned_v3,,,,Huizinga,,,,C,research_signal,False,
13616,chunk_064:p0190,064,190,732,True,,,,,Huizinga,,,,C,research_signal,False,
13640,chunk_064:p0214,064,214,64,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
13692,chunk_065:p0037,065,37,957,True,,,,,Raymond B. Fosdick;Rockefeller,,,,C,research_signal,False,
13701,chunk_065:p0046,065,46,661,True,,,,,,,social_science,,C,research_signal,False,
13718,chunk_065:p0063,065,63,661,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
13734,chunk_065:p0079,065,79,2114,True,ocr_repetition_cleaned,,,,,,musicology,,C,research_signal,False,
13763,chunk_065:p0108,065,108,40,True,,,,,Huizinga,,,,C,research_signal,False,
13778,chunk_065:p0123,065,123,15,True,,,,,Huizinga,,,,C,research_signal,False,
13781,chunk_065:p0126,065,126,15,True,,,,,Huizinga,,,,C,research_signal,False,
13800,chunk_065:p0145,065,145,32,True,,,,,Huizinga,,,,C,research_signal,False,
