file	div_title	div_id	page	score	primitive	actors	discipline	relations	places	play	text
huiz003gesc03_01.xml	4. Algemeene Vormleer of Bijzondere Vormenleer.		84	27	0	1	5	2	1	0	Er bestaat dus geen gevaar, dat een cultuurgeschiedenis, die meer notitie nam dan tot dusver van de gegevens der systematische geesteswetenschappen, daarmee Clio's erf zou uitleveren aan die gevreesde Sociologie, die haar daartoe reeds eenmaal het proces aandeed. Zij kan tot haar eigen heil van de sociologen nog heel wat leeren, zonder zichzelf ook maar in het minst te reduceeren tot het verrichten van handen spandiensten aan de systematische wetenschap der maatschapsvormen. Een hecht contact, zoowel met de praktische sociologie der Amerikanen, als met de historische van Marcel Mauss en met de philosophische van Max Scheler, Hans Freyer en anderen, kan de beoefening der cultuurgeschiedenis slechts ten goede komen. Indien haar gevaren bedreigen, dan is het veeleer van de demiurgen-allures, die sommige hedendaagsche denkers zich tot plicht rekenen.
huiz003gesc03_01.xml	VI. Taak van ons volk		307	26	1	0	0	10	0	0	Ons vaderland, met zijn neiging tot sectarisme op elk gebied, was haast voorbeschikt om aan de ondoordachte wijsheid van het kunstmatig geperfectioneerde democratische parlementarisme ten prooi te vallen. Het resultaat wordt alleen duidelijk zichtbaar, wanneer men zich op eenigen afstand plaatst. Wij zijn zoo gewend aan het bestaan van al de organisaties, die zich ten onzent politieke partijen noemen, dat zij ons even permanent en vanzelfsprekend voorkomen als gemeentebesturen of rechtbanken, en het gewoonlijk niet tot ons doordringt, hoe volslagen ondoeltreffend en onwaar dit partijenapparaat is. De christelijk-historische partij, die den toeloop heeft van al wat conservatief of gematigd liberaal denkt, de antirevolutionaire partij, die het zuiver theocratisch standpunt, dat haar kracht is, toch eigenlijk voortdurend moet verloochenen, om praktische politiek te kunnen voeren, de katholieke partij, die steeds op barsten staat door de spanningen, die haar samenhang bedreigen, de steeds slinkende liberale groepen, die volstrekt niet meer in staat zijn, het in wezen liberaal gezinde volksdeel te trekken of te vereenigen, de sociaal-democratische arbeiderspartij, die voortgaat, schoon in werkelijkheid reeds lang louter progressief geworden, haar aanhang te werven met de propagandamiddelen der revolutie, geen van alle verdient ook maar eenigszins meer den naam van een waarlijk politieke groepeering. De gecompliceerde en kritieke verhoudingen van het hedendaagsche staats- en maatschappijleven dwingen hen, en zullen hen in toenemende mate dwingen, om alle aan de staatstaak samen te werken. Een min of meer regelmatige alterneering van compacte, gelijkgezinde meerderheden is niet meer mogelijk. Waarlijk samenwerken evenwel kunnen de zoogenaamde partijen in hun veelheid niet. Wat zij inderdaad doen is niet veel meer dan het uit hun midden door aanwijzing van hun besturen leveren van personen, die min of meer geschikt zijn om de zware verantwoordelijkheid en den inspannenden arbeid van de regeeringsposten te dragen. Eenmaal met die taak belast, zien deze personen zich gedwongen, samen naar hun beste vermogen de regeering te voeren, zonder dat daarbij hun partijstandpunt meer veel ter zake doet, of hun partij zelve meespreekt. Echte partijpolitiek valt eigenlijk alleen meer te voeren door het paaien van zekere kiezerswenschen met beuzelachtige maatregelen, niet in hoofdzaken. Om kort te gaan, het partijstelsel, zooals ons vaderland het bezit, toont dagelijks zijn overbodigheid en ondoeltreffendheid. Het werkt hoogstens nog in zekere schadelijke vormen door voortrekking van partijgenooten, al heeft het hyperabsurde pariteitsbeginsel hiervan de ergste euvelen gekeerd. Wilde men werkelijk de gelijkgezindheden, die zich tot praktisch politiek richtsnoer leenen, met de ruimheid en buigzaamheid, die elke ware staatkunde eischt, organiseeren, dan zou een eenvoudige indeeling naar politiek temperament een heel wat gezonder staatsleven beloven.
huiz003gesc03_01.xml	2. Psychologie of Morphologie?		76	21	0	0	5	2	1	0	Reeds bij de economische geschiedenis zijn de termen, waarmee zij werkt, veel meer dan de zóó uit het leven gegrepen staatkundige termen, product van wetenschappelijke doorgronding der verschijnselen. Nog sterker is dit het geval met de termen der cultuurgeschiedenis (tenzij men denkt aan Zeden en Gewoonten enz.). Haar ware vragen zijn altijd problemen van vorm, structuur en functie der maatschappelijke verschijnselen. Dat wil niet zeggen, dat de cultuurgeschiedenis zich nu toch maar in den dienst zou moeten stellen der sociologie. De cultuurgeschiedenis beschouwt de verschijnselen in hun eigen treffende belangrijkheid, die voor de sociologie slechts paradigmata zijn. De cultuurhistoricus heeft slechts verwijderd den toeleg, uit de verschijnselen algemeen geldende regels voor de kennis der samenleving af te leiden. Hij trekt om de vormen, die hij ontwerpt, niet enkel de lijnen, maar kleurt ze met aanschouwelijkheid, en doorlicht ze met visionnaire suggestie.
huiz003gesc03_01.xml	IV Grondvoorwaarden van cultuur		331	21	1	1	1	3	0	0	Een ethisch gehalte is in het gevoel van verschuldigd zijn aanwezig, zoodra, hetzij de verplichting een anderen mensch geldt of een instelling of een geestelijke macht, het een verplichting is, die men ook zou kunnen weigeren. De meening, als zoude in de primitieve beschaving de gehoorzaamheid aan de maatschappelijke plichtenleer mechanisch en onafwijsbaar volgen, is door ethnologen als Malinowski als onhoudbaar bewezen. Wordt derhalve in een gemeenschap die gehoorzaamheid in den regel in acht genomen, dan geschiedt dit onder een volwaardigen ethischen impuls, en dan is daarin verwezenlijkt de voorwaarde beheersching van natuur in den vorm van bedwinging van eigen menschelijke natuur.
huiz003gesc03_01.xml	4. Algemeene Vormleer of Bijzondere Vormenleer.		83	20	0	0	4	4	0	0	De godsdienstwetenschap en de ethnologie geven ons de begripsbepaling van hetgeen mythus, wijding, heilige handeling, kampspel, geheime bond enz. in het cultuurleven beteekenen. De cultuurgeschiedenis kan in het bonte verloop der historie zelf de werking en het bestaan van die verschijnselen telkens aantoonen. Zij kan van de kennis dier vormen partij trekken, om de bijzondere gebeurtenissen beter te verstaan, en op haar beurt daarmee weer bevestiging en steun geven aan de schemata dier bijzondere wetenschappen. Tal van cultuurhistorische onderwerpen liggen òf terzijde van die speciale terreinen, òf over alle heen. De Bucoliek bijvoorbeeld raakt niet alleen de litteratuur en de beeldende kunst, maar bovendien den dans, de muziek, het gezelschapsleven en de politieke theorie, kortom het is een cultuurthema. Beschavingsfuncties als Dienst, Eer, Trouw, Gehoorzaamheid, Navolging, Verzet, Vrijheidsstreven, elk voor zich onderwerpen der sociologie, als men wil, vinden in de systematische beoefening, die de laatste hun wijdt, geen afdoende behandeling, wanneer niet de cultuurgeschiedenis ze in hun telkens wisselende werking en gedaante door eeuwen en landen heen vertoont.
huiz003gesc03_01.xml	I De historische wetenschap lijdt aan het euvel van een onvoldoende formuleering der vragen.		45	20	0	0	4	3	1	0	Dit wil niet zeggen, dat elke cultuurhistorische werkzaamheid voortdurend het geheel zou moeten willen omspannen. Daarin schuilt veeleer een ander groot gevaar, waarover later. Men kan, als men wil, de natuurlijke gouwen der cultuurgeschiedenis zien in godsdienst- en kerkgeschiedenis, kunstgeschiedenis, geschiedenis der letterkunde, der wijsbegeerte, der wetenschap, der techniek. Voor al deze ligt de taak, om in het detail te gaan, voorgeschreven; het determineeren der objecten eischt nog arbeid genoeg. Doch de resultaten dezer speciale historische studiën leveren, ook indien zij synthese en zinverklaring bieden, nog geen cultuurgeschiedenis op. Zelfs stijlgeschiedenis en geestesgeschiedenis kunnen nog nauwelijks in den vollen zin des woords cultuurgeschiedenis heeten. Eerst wanneer zij overgaan tot het determineeren van levensvormen, scheppingsvormen en denkvormen al tezamen, kan er in waarheid sprake zijn van cultuurhistorie. De aard van deze vormen is niet gegeven. Zij krijgen hun gedaante eerst onder onze hand. En om deze reden, dat de cultuurgeschiedenis in zoo hooge mate het product is van den vrijen geest der vorschers en denkers, is hier een grooter behoedzaamheid in het stellen der vragen geboden. Elke scheef gestelde vraag verschuift het beeld. En het schijnt soms, of de beschavingsgeschiedenis, in haar huidigen stand, nog maar al te zeer behept is met verschoven beelden.
huiz003gesc03_01.xml	Neutraliteit en vrijheid, waarheid en beschavingEnigszins uitgebreide tekst van een radio-rede, op 19 November 1939 gehouden. Afzonderlijk verschenen bij H.D. Tjeenk Willink & Zoon N.V., Haarlem 1939.		460	20	0	0	0	9	1	0	Maar is, - dringt de vraag zich op -, onzijdigheid van geweten wel het juiste woord? Bestaan er in het conflict, dat thans de wereld beschaamt en verscheurt, onzijdigen van geweten? Een neutrale van geweten, dat is een persoon, wien het onverschillig is, of groep A dan wel groep B der strijdenden wint. Men kan zich zulk een waarlijk in zijn hart onzijdige in twee gedaanten voorstellen. De eene is de man, die zegt: ik zie, hoe beide partijen zich beroepen op recht en rechtvaardigheid. Beide verkondigen luide, dat zij enkel een vrede begeeren, die onrecht opheft, recht bevestigt, en een billijke orde tusschen de volken en Staten der wereld zal helpen grondvesten. Alles wel beschouwd, - zegt onze denkbeeldige neutrale -, weet ik niet, wie van beide gelijk heeft, dus ben ik noch voor A noch voor B. - Ik geloof niet, dat dit type van oprecht onzijdige veelvuldig voorkomt. Het dichtst ertoe naderen de religieuze anti-militaristen, die in hun ijver voor de eeuwige gerechtigheid er in zouden willen berusten, als de tijdelijke rechtvaardigheid onder den voet geloopen werd, en die aldus het Christendom inroepen tegen de gerechtigheid. Het andere type van echte onzijdigheid is de mensch, die door zijn even brute als welgemeende ongevoeligheid voor elk begrip van objectief recht enkel oordeelt naar zijn kansberekening der toekomstige overwinning, en indien hij de kansen gelijk acht, zich van partij kiezen onthoudt. Hij zal inderdaad onzijdig zijn, maar een neutrale van geweten kan men hem nauwelijks noemen.
huiz003gesc03_01.xml	V. Crisis der cultuurWat hier in enkele bladzijden wordt aangeroerd, hoop ik eerlang in een zelfstandig geschrift nader uiteen te zetten.		294	20	0	0	0	9	1	0	Alle samenleving berust op maatschappelijke organisatie. De menschelijke gemeenschap moet ter verzekering van haar heil vormen van samenleving scheppen, functies verdeelen, verbanden van onderschikking aan gezag vaststellen, kortom zich organiseeren. In de meer oorspronkelijke phasen van beschaving geschiedt dit alles onbewust, althans zoo dat de daden, die tot zoodanige instellingen leiden, zich aan onze waarneming onttrekken. Naarmate de beschaving voortschrijdt evenwel wordt de functie zelf van maatschappelijke organisatie meer en meer een bewuste kunst en een opzettelijk toegepast middel, in het klein en in het groot. In de moderne samenleving nu is de techniek der maatschappelijke organisatie, door drukpers en verkeer, door algemeene volksontwikkeling, zoo zeer gevorderd, dat de organisatie zich niet meer voltrekt in geleidelijke aansluiting bij veranderde behoeften en omstandigheden, maar een macht op zich zelf is geworden. De organisatie als zoodanig heerscht en onderwerpt. Elke organisatie, tot zekere perfectie gekomen en in gang gehouden door haar eigen mechanisme heeft de neiging, haar doel in haar eigen bestaan en functie te verplaatsen. Zij wordt door de volmaaktheid van haar middelen overorganisatie.
huiz003gesc03_01.xml	XIV De staat den staat een wolf?		380	20	0	0	0	10	0	0	Zoowel de christelijke als de volkenrechtelijke grondslag voor een zedewet en plichtenleer van den Staat wordt door de belijders der politische amoraliteit uitdrukkelijk verloochend. Men vindt hen volstrekt niet alleen onder de voorstanders van fascistische richtingen. Het standpunt wordt zeer veelvuldig aangetroffen onder historici. Hier mogen iets uitvoeriger dan ik reeds eerder deedNederland's Geestesmerk, tweede uitgave, p. 25. [Verz. Werken VII, p. 2991], eenige uitspraken worden aangehaald van Gerhard Ritter, omdat zij uit den mond van dezen uitstekenden en rustig denkenden historicus zoo duidelijk spreken. Duitschland in den tijd der Hervorming, zegt deze auteur, was ‘noch weit davon entfernt, einen klaren Begriff von der naturnotwendigen Autonomie staatlichen Lebens gegenüber dem Kirchenwesen und der überlieferten kirchlichen Morallehre zu besitzen’. De Duitsche vorstenstaat ontbeerde nog altijd ‘das Bewusstsein sittlicher Autonomie seiner weltlichen Lebenszwecke’. En aan het slot van het artikel: ‘Dass alles politische Machtstreben sich zu rechtfertigen habe vor dem göttlichen Weltregiment, dass es seine unverrückbare Schranke finde an der Idee der absoluten Gerechtigkeit, des Ewigen, von Gott gesetzten. Rechts, und dass die Völkergesellschaft Europas über alle Gegensätze nationaler Interessen hinweg doch eine Gemeinschaft christlicher Gesittung bilden müsse - das sind alles zuletzt echt mittelalterlich-christliche Gedanken. Wenn diese uralten Traditionen in der englischen Politik bis heute nicht ganz ausgestorben sind, wenn sie darin fortleben in säktularisierter Gestalt, während die grossen Nationen des Kontinents den rein naturhaften Charakter alles weltlichen Machtstrebens mit seinen harten Interessenkämpfen ohne viel moralische Bedenken anzuerkennen pflegen - so gehört das ebenfalls zu den Folgen des Konfessionskampfes, der die Geistesart der europäischen Völker so scharf ausgeprägt und so scharf voneinander unterschieden hat.’Die Ausprägung deutscher und westeuropäischer Geistesart im konfessionellen Zeitalter, Historische Zeitschrift, 149, 1934, p. 240 (voordracht op het Internationale Historische Congres te Warschau, Augustus 1933). Uit het bovenstaande sproot een mij zeer aangename briefwisseling met Prof. Ritter voort, die mij verklaarde, dat hij het woord ‘sittliche Autonomie’ niet zou willen zien opgevat in den zin van een onvoorwaardelijke erkenning van den amoreelen staat, en dat hij de ongebroken doorwerking van middeleeuwsche denkbeelden van ‘eeuwig recht’ volstrekt niet als een achterlijkheid, doch veeleer als een voortreffelijkheid van Engelsch staatsbesef boven het continentale opvatte.
huiz003gesc03_01.xml	6. Streven naar verlossing		562	19	1	0	1	5	0	0	Reeds in de vroegste stadiën van zijn opklimming tot cultuur voelt de mensch zich in dit leven aan alle zijden bekneld, benauwd of bedreigd door banden, waaruit hij zich moet zoeken te bevrijden. Aanvankelijk vat hij dat begrip ‘band’ louter materieel, en drukt bijna al de plagen en lasten van het bestaan uit in voorstellingen van een gebonden of gegrepen worden. Pijnen en smarten zijn hem evenzoovele banden of aangrijpingen door demonen of ook wel strikken, die hem gespannen zijn. De volkenkunde gewaagt van wilden, die strikken of stroppen van plantenvezels in de boomen hangen om, als de vijand daarlangs komt, er zijn ziel of hoe zij het onlichamelijk deel van zijn wezen noemen, in te vangen. Op dat standpunt blijft tot in de jongere en hoogere phasen van godsdienst en cultuur het geloof aan beheksing en betoovering feitelijk staan. Uw boosaardige vijand houdt u heimelijk gebonden, hij kwelt u, knelt u, pijnigt u, en ge kunt u uit die betoovering slechts verlossen, als ge de rechte middelen weet. Ieder boekje over tooverij is vol van het geloof in zulke ligaturen, door heksen of toovenaars heimelijk aangebracht. Zij strekken in de meeste gevallen tot het belemmeren van iemands sexueele functies. De treffende gelijkenis tusschen bijgeloovige gebondenheidsvoorstellingen en psychopathologische blijve hier rusten. Slechts in het voorbijgaan worde eraan herinnerd, dat het begrip en het woord religio zelf uitgaan van een voorstelling van gebonden zijn.
huiz003gesc03_01.xml	V. Crisis der cultuurWat hier in enkele bladzijden wordt aangeroerd, hoop ik eerlang in een zelfstandig geschrift nader uiteen te zetten.		296	19	0	0	0	8	0	3	De werkelijke belangstelling van het groote publiek is niet meer bij de werken des geestes, althans in veel mindere mate dan bij voorbeeld in de achttiende eeuw, toen het publiek veel kleiner, maar zijn gerichtheid veel intellectueeler was. De ernst der massa's wordt tegenwoordig in toenemende mate besteed aan dingen, die een onvooringenomen cultuurwetenschap slechts als lagere spelvormen (er zijn ook zeer hooge) zou kunnen qualificeeren. Er heerscht in de huidige wereld een georganiseerd puerilisme van mateloozen omvang. Ik onthoud mij er van, al de gemeenschapsfuncties op te sommen, die daaronder gerekend kunnen worden. De oude cultuurinstincten, die de dansen der natuurvolken en de optochten van gilden en broederschappen bepaalden, hebben nieuwe vormen aangenomen. Die instincten worden opgevangen in de moderne zucht tot associatie en organisatie. De machtsgroep maakt ze zich ten nutte, en organiseert er zijn benden mee. Voor de gewijde feesten van weleer krijgt men in de plaats de grootscheepsche politieke betoogingen, waarin een gedrilde massa zich verlustigt, en waaraan een volk zich vergaapt. Het kan soms schijnen, alsof de hedendaagsche menschheid geen hooger gemeenschappelijke cultuurfunctie meer kent, dan met blijden of toornigen blik in den pas te loopen. Juist in die publieke organisatie van het puerilisme tot een ernstig doel zit het kwaad, want het maakt spel tot valsch spel. De proef op de som, die de verzwakking van het oordeel bewijst, is te vinden in den buitengewonen ijver, waarmee tegenwoordig elke partij beroep doet op de onvolwassenen, om haar gelederen te versterken en zich de toekomst te verzekeren. Er is immers niet veel psychologische kennis noodig, om te weten, hoe gemakkelijk de suggestie op het nog ongevormd intellect het zelfstandig oordeel, zoo niet voor goed, dan toch voor langen tijd kan uitschakelen. Men spant de instincten in het gareel, om van het oordeel geen last te hebben. Op mechaniseerende organisatie komt het bij de verschijnselen van onze cultuurcrisis telkens weer neer.
huiz003gesc03_01.xml	4. Algemeene Vormleer of Bijzondere Vormenleer.		82	18	0	0	2	6	0	0	Juist op dit gebied eener speciale morphologie der cultuur ligt de groote samenhang van al die geesteswetenschappen onderling, die zich onder het begrip historie in den allerwijdsten zin laten verstaan. Elke arbeidt op haar eigen terrein, maar het is noodig, dat er contact is tusschen alle. De constitutioneele en rechtsgeschiedenis onderzoeken dien belangrijksten vorm van alle gemeenschapsleven, den staat en zijn organen. De economische geschiedenis beschrijft en ontleedt de bedrijfsvormen. De godsdienstgeschiedenis, de ethnologie, de sociologie doen elk op eigen veld hetzelfde. De kunstgeschiedenis en litteratuurgeschiedenis, langen tijd al te zeer in beslag genomen door de uiterlijk-genetische bepaling van filiaties, zoeken den weg naar het verstaan en vaststellen van de bepaalde vormen. De taalwetenschap is, sedert zij van de uiterlijke vormleer der ‘Junggrammatiker’ overging op de semantische vragen, op de inwendige morphologieNaar ik meen, gebruiken de grammatici het woord Morphologie nog veelal uitsluitend in den meer uiterlijken zin. der gedachtenuitdrukking derhalve, meer dan ooit een integreerend deel der cultuurwetenschap, waarmede wijsbegeerte, rechtswetenschap en historie eerlang zich inniger zullen hebben te verstaan.
huiz003gesc03_01.xml	7. De verbrokkeling van het Duitsche rijk		509	18	1	0	1	4	0	1	Die kleine Duitsche staatjes, zelfs die welke enkel door een welberaden huwelijk of een gelukkige erfenis ontstaan waren, verwierven voor hun bewoners alle in korten tijd de qualiteit van een vaderlandje, waarin een beperkte gemeenschap zich op haar plaats, en waaraan een mensch zich gehecht voelde. Slechts weinige van al die machten en machtjes waren gebaseerd op volkenkundigen samenhang, op eenheid van bodem, op gelijkheid van tongval; de meeste waren producten van het politieke incident; maar onverschillig hun graad van natuurlijke homogeniteit, zij vormden juist in hun beslotenheid binnen enge grenzen ideale eenheden van landsbestuur en ware kweekplaatsen van echte cultuur. Eerst hun aspiraties om als belangrijke vorstendommen te gelden, hun neiging om zich in liga's of unies aaneen te sluiten en groote politiek te gaan spelen, brachten hen in rampen als den dertigjarigen oorlog. Hun gebreken waren die van alle menschelijke gemeenschappen. Zij hadden veelal absurde vorsten, die opgingen in kwesties van préséance of maitressendom en die de welvaart van hun landje ver-spilden. Zij namen Fransch goud aan zooveel als de groote Lodewijk maar bieden wilde; zij verrieden elkander om een kansje op meer. Maar zij gaven de wereld een Bach en een Goethe. Ten slotte kwam Napoleon en ruimde de ongeveer 1800 Duitsche politieke eenheden tot op een klein getal na op. Eerst de komende geslachten zullen kunnen beoordeelen, in hoeverre het voor Duitschland zelf en voor de Europeesche beschaving een voordeel is geweest, dat de ongeveer vijfentwintig eenheden, die in 1815 nog met aanzienlijke mate een zelfstandigheid herrezen in den Duitschen Bond, door Bismarck in van vast en dwingend rijksverband zijn geklonken, met nog altijd een zeker behoud van hun eigen plaats en wezen in het geheel, om daarna, in de jongste jaren, zelfs van hun namen te worden beroofd, ter wille van de theorie van den grooten staat, die slechts volstrekte eenheid kent.
