pdf_page,ocr_page_id,state,archival_unit,notes
1,chunk_002:p0001,final_checked,opening_blank,
2,chunk_002:p0002,text_checked,Zelandensia_mounted_slips,
3,chunk_002:p0003,text_checked,Zelandensia_mounted_slips,
4,chunk_002:p0004,text_checked,Zelandensia_mounted_slips,
5,chunk_002:p0005,final_checked,Zelandensia_mounted_slips,
6,chunk_002:p0006,text_checked,Zelandensia_mounted_slips,
7,chunk_002:p0007,text_checked,Zelandensia_mounted_slips,
8,chunk_002:p0008,text_checked,Zelandensia_mounted_slips,
9,chunk_002:p0009,text_checked,Zelandensia_mounted_slips,
10,chunk_002:p0010,text_checked,Zelandensia_mounted_slips,
11,chunk_002:p0011,final_checked,Salimbene_cover,
12,chunk_002:p0012,text_checked,Salimbene_packet,
13,chunk_002:p0013,text_checked,Salimbene_packet,
14,chunk_002:p0014,text_checked,Salimbene_packet,
15,chunk_002:p0015,final_checked,Salimbene_packet,
16,chunk_002:p0016,final_checked,Salimbene_packet,
17,chunk_002:p0017,text_checked,Salimbene_packet,
18,chunk_002:p0018,text_checked,Salimbene_packet,
19,chunk_002:p0019,text_checked,Salimbene_packet,
20,chunk_002:p0020,text_checked,Salimbene_packet,
21,chunk_002:p0021,text_checked,Salimbene_packet,
22,chunk_002:p0022,text_checked,Salimbene_packet,
23,chunk_002:p0023,text_checked,Salimbene_packet,
24,chunk_002:p0024,final_checked,Florence_cover,
25,chunk_002:p0025,text_checked,Florence_XIII_XV,
26,chunk_002:p0026,text_checked,Florence_XIII_XV,
27,chunk_002:p0027,text_checked,Florence_XIII_XV,
28,chunk_002:p0028,text_checked,Florence_XIII_XV,
29,chunk_002:p0029,text_checked,Florence_XIII_XV,
30,chunk_002:p0030,text_checked,Florence_XIII_XV,crosswalk_exception_001: OCR p0030 merges physical p30+p31; OCR p0031 nearly empty
31,chunk_002:p0031,text_checked,Florence_XIII_XV,crosswalk_exception_001: OCR p0030 merges physical p30+p31; OCR p0031 nearly empty
32,chunk_002:p0032,text_checked,Florence_XIII_XV,capture_overlap_A: same left Latin leaf repeated across adjacent spread captures
33,chunk_002:p0033,text_checked,Florence_XIII_XV,capture_overlap_A: same left Latin leaf repeated across adjacent spread captures
34,chunk_002:p0034,text_checked,Florence_XIII_XV,
35,chunk_002:p0035,text_checked,Florence_XIII_XV,
36,chunk_002:p0036,text_checked,Florence_XIII_XV,capture_overlap_B: same left Latin leaf repeated across adjacent spread captures
37,chunk_002:p0037,text_checked,Florence_XIII_XV,capture_overlap_B: same left Latin leaf repeated across adjacent spread captures
38,chunk_002:p0038,text_checked,Florence_XIII_XV,
39,chunk_002:p0039,text_checked,Florence_XIII_XV,
40,chunk_002:p0040,text_checked,Florence_XIII_XV,
41,chunk_002:p0041,text_checked,Florence_XIII_XV,
42,chunk_002:p0042,text_checked,Florence_XIII_XV,
43,chunk_002:p0043,text_checked,Florence_XIII_XV,
44,chunk_002:p0044,text_checked,Florence_XIII_XV,
45,chunk_002:p0045,text_checked,Florence_XIII_XV,
46,chunk_002:p0046,text_checked,Florence_XIII_XV,
47,chunk_002:p0047,text_checked,Florence_XIII_XV,
48,chunk_002:p0048,final_checked,Florence_blank,
49,chunk_002:p0049,final_checked,Trois_esprits_cover,
50,chunk_002:p0050,text_checked,Paris_1930_proem,
51,chunk_002:p0051,text_checked,Paris_1930_proem,
52,chunk_002:p0052,text_checked,Paris_1930_proem,
53,chunk_002:p0053,final_checked,Paris_1930_blank,
54,chunk_002:p0054,text_checked,Paris_1930_framing_Haskins,
55,chunk_002:p0055,text_checked,Paris_1930_framing_Haskins,
56,chunk_002:p0056,text_checked,Paris_1930_framing_Haskins,
