page_id	ocr_signal	class	segment	flags
p0001	empty	blank-no-substantive	S1_p0001-p0061	visual_checked;visual_blank_or_no_substantive;baseline_empty_verified_blank
p0002	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0003	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0004	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0005	empty	blank-no-substantive	S1_p0001-p0061	visual_checked;visual_blank_or_no_substantive;baseline_empty_verified_blank
p0006	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk;envelope_label_Zelandensia_visual
p0007	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0008	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0009	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0010	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0011	nonempty	short-text	S1_p0001-p0061	visual_checked;sparse_text_or_label;title_or_cover_card
p0012	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0013	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0014	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0015	empty	blank-no-substantive	S1_p0001-p0061	visual_checked;visual_blank_or_no_substantive;baseline_empty_verified_blank
p0016	empty	false-empty-recovery	S1_p0001-p0061	visual_checked;baseline_empty_false_negative;faint_substantive_text_visible
p0017	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0018	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0019	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0020	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0021	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0022	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0023	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0024	nonempty	short-text	S1_p0001-p0061	visual_checked;sparse_text_or_label
p0025	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0026	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0027	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0028	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0029	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0030	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0031	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0032	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0033	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0034	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0035	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0036	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0037	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0038	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0039	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0040	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0041	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0042	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0043	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0044	nonempty	high-noise	S1_p0001-p0061	visual_checked;composite_layout;reading_order_risk
p0045	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0046	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0047	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0048	empty	blank-no-substantive	S1_p0001-p0061	visual_checked;visual_blank_or_no_substantive;baseline_empty_verified_blank
