page_id	baseline_chars	visual_status	quality_class	needs_close_transcription	text_source	review_pdf
chunk_003:p0001	0	blank_confirmed	blank	false	blank	chunk_003(1).pdf
chunk_003:p0002	345	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0003	274	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0004	1177	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0005	1247	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0006	847	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0007	1163	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0008	1127	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0009	1398	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0010	428	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0011	0	blank_confirmed	blank	false	blank	chunk_003(1).pdf
chunk_003:p0012	448	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0013	843	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0014	613	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0015	1147	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0016	927	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0017	1618	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0018	1304	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0019	864	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0020	0	blank_confirmed	blank	false	blank	chunk_003(1).pdf
chunk_003:p0021	698	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0022	1520	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0023	2153	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0024	1674	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0025	2148	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0026	2073	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0027	621	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0028	0	blank_confirmed	blank	false	blank	chunk_003(1).pdf
chunk_003:p0029	1317	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0030	740	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0031	1145	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0032	1058	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0033	713	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0034	0	blank_confirmed	blank	false	blank	chunk_003(1).pdf
chunk_003:p0035	244	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0036	670	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0037	32	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0038	0	false_empty_recovered	manual_recovery	true	empty_ocr_visual_review.jsonl	chunk_003(1).pdf
chunk_003:p0039	1039	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0040	974	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0041	865	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0042	1213	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0043	1003	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0044	1097	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0045	1012	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0046	973	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0047	1057	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0048	1129	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0049	992	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0050	1024	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0051	1018	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0052	1013	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0053	1140	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0054	1100	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0055	1428	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0056	1082	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0057	1063	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0058	1126	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0059	982	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0060	1160	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0061	210	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0062	0	blank_confirmed	blank	false	blank	chunk_003(1).pdf
chunk_003:p0063	1480	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0064	1184	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0065	906	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0066	1204	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0067	1037	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0068	987	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0069	1158	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0070	1180	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0071	1003	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0072	765	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0073	0	blank_confirmed	blank	false	blank	chunk_003(1).pdf
chunk_003:p0074	219	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0075	9	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0076	1020	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0077	1282	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0078	499	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0079	0	false_empty_recovered	manual_recovery	true	empty_ocr_visual_review.jsonl	chunk_003(1).pdf
chunk_003:p0080	0	false_empty_recovered	manual_recovery	true	empty_ocr_visual_review.jsonl	chunk_003(1).pdf
chunk_003:p0081	551	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0082	61	text_verified	verified_short_text	false	verified_manual	chunk_003(1).pdf
chunk_003:p0083	620	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0084	125	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0085	373	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0086	244	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0087	495	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0088	333	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0089	408	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
chunk_003:p0090	87	text_present	usable	false	baseline_ocr_retained	chunk_003(1).pdf
