page_id	baseline_chars	visual_status	quality_class	needs_close_transcription	text_source	review_pdf
chunk_004:p0161	1050	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0162	830	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0163	877	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0164	1488	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0165	780	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0166	776	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0167	1212	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0168	1117	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0169	767	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0170	783	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0171	860	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0172	56	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0173	1627	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0174	677	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0175	739	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0176	0	blank_confirmed	blank	false	blank	chunk_004_161-236.pdf
chunk_004:p0177	1759	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0178	329	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0179	1987	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0180	1938	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0181	1250	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0182	165	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0183	275	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0184	1560	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0185	261	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0186	1640	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0187	1123	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0188	1306	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0189	1352	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0190	2288	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0191	2438	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0192	2423	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0193	1562	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0194	1239	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0195	1187	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0196	1471	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0197	1539	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0198	781	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0199	1252	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0200	1068	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0201	880	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0202	2711	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0203	1149	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0204	2	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0205	1009	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0206	1087	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0207	1410	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0208	1225	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0209	1064	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0210	0	false_empty_recovered	manual_recovery	true	empty_ocr_visual_review.jsonl	chunk_004_161-236.pdf
chunk_004:p0211	1364	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0212	1220	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0213	1582	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0214	1151	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0215	452	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0216	1331	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0217	246	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0218	909	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0219	1205	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0220	1081	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0221	1224	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0222	1486	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0223	1237	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0224	868	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0225	1374	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0226	1272	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0227	10516	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0228	1736	text_present	high_noise_flagged	true	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0229	390	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0230	1434	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0231	1166	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0232	1010	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0233	1099	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0234	1187	text_present	usable_with_noise	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0235	1155	text_present	usable	false	baseline_ocr_retained	chunk_004_161-236.pdf
chunk_004:p0236	0	blank_confirmed	blank	false	blank	chunk_004_161-236.pdf
