page_id	visual_class	exact_quote_required	notes
chunk_008:p0001	false_empty_recovered	no	complete OCR false negative: printed Laura Spelman Rockefeller Memorial letterhead; no substantive body text visible
chunk_008:p0002	usable_with_noise	no	
chunk_008:p0003	usable_with_noise	no	
chunk_008:p0004	usable_with_noise	no	
chunk_008:p0005	high_noise	yes	mounted-slip board; baseline contains only 11 characters
chunk_008:p0006	blank	no	baseline empty; visual inspection confirms blank or no substantive text
chunk_008:p0007	usable_with_noise	no	
chunk_008:p0008	usable_with_noise	no	
chunk_008:p0009	usable_with_noise	no	
chunk_008:p0010	blank	no	baseline empty; visual inspection confirms blank or no substantive text
chunk_008:p0011	usable_with_noise	no	
chunk_008:p0012	usable_with_noise	no	
chunk_008:p0013	usable_with_noise	no	
chunk_008:p0014	blank	no	baseline empty; visual inspection confirms blank or no substantive text
chunk_008:p0015	usable_with_noise	no	
chunk_008:p0016	usable_with_noise	no	
chunk_008:p0017	blank	no	baseline empty; visual inspection confirms blank or no substantive text
chunk_008:p0018	usable_with_noise	no	
chunk_008:p0019	high_noise	yes	mounted-slip layout; baseline over-expansion/gibberish inconsistent with visible text
chunk_008:p0020	usable_with_noise	no	
chunk_008:p0021	usable	no	
chunk_008:p0022	usable	no	
chunk_008:p0023	blank	no	baseline empty; only a tiny non-substantive mark is visible
chunk_008:p0024	usable_with_noise	no	
chunk_008:p0025	high_noise	yes	mounted-slip layout; severe reading-order collapse and over-expansion
chunk_008:p0026	usable_with_noise	no	
chunk_008:p0027	usable_with_noise	no	
chunk_008:p0028	false_empty_recovered	yes	baseline empty but faint handwriting is present; visible date range 1795–1856
chunk_008:p0029	blank	no	baseline empty; visual inspection confirms blank or no substantive text
chunk_008:p0030	usable_with_noise	no	
chunk_008:p0031	usable_with_noise	no	
chunk_008:p0032	usable_with_noise	no	
chunk_008:p0033	blank	no	baseline empty; visual inspection confirms blank or no substantive text
chunk_008:p0034	usable_with_noise	no	
chunk_008:p0035	false_empty_recovered	yes	complete OCR false negative: multiple handwritten mounted slips, many rotated
chunk_008:p0036	blank	no	baseline empty; visual inspection confirms blank or no substantive text
chunk_008:p0037	usable_with_noise	no	
chunk_008:p0038	usable_with_noise	no	
chunk_008:p0039	usable_with_noise	no	
chunk_008:p0040	usable_with_noise	no	
chunk_008:p0041	usable_with_noise	no	
chunk_008:p0042	usable_with_noise	no	
chunk_008:p0043	usable_with_noise	no	
chunk_008:p0044	blank	no	baseline empty; envelope/card with only a tiny non-substantive mark
chunk_008:p0045	usable_with_noise	no	
chunk_008:p0046	usable_with_noise	no	
chunk_008:p0047	high_noise	yes	multi-slip board; severe under-capture
chunk_008:p0048	usable_with_noise	no	
chunk_008:p0049	usable_with_noise	no	
chunk_008:p0050	usable_with_noise	no	
chunk_008:p0051	usable_with_noise	no	
chunk_008:p0052	false_empty_recovered	yes	complete OCR false negative: dense mounted index slips; anchors include “d.13. keuze of interpretatie”, “d.12. zuiverheid spiritualiteit”, and “17. vormleer”
