page_id	page_in_chunk	baseline_chars	visual_text_present	retrieval_class	note
chunk_010:p0001	1	1507	yes	usable_with_noise	
chunk_010:p0002	2	1728	yes	usable_with_noise	
chunk_010:p0003	3	1460	yes	usable_with_noise	
chunk_010:p0004	4	1530	yes	usable_with_noise	
chunk_010:p0005	5	1220	yes	usable_with_noise	
chunk_010:p0006	6	1362	yes	high_noise	Conspicuous mixed-script / generative-looking hallucination in baseline OCR; visible manuscript text is substantially more coherent than OCR. Retrieval only; close transcription required before quotation.
chunk_010:p0007	7	1307	yes	high_noise	Conspicuous mixed-script / generative-looking hallucination in baseline OCR; visible manuscript text is substantially more coherent than OCR. Retrieval only; close transcription required before quotation.
chunk_010:p0008	8	1385	yes	usable_with_noise	
chunk_010:p0009	9	1760	yes	usable_with_noise	
chunk_010:p0010	10	1076	yes	usable_with_noise	
chunk_010:p0011	11	1354	yes	usable_with_noise	
chunk_010:p0012	12	1451	yes	usable_with_noise	
chunk_010:p0013	13	1367	yes	usable_with_noise	
chunk_010:p0014	14	1367	yes	usable_with_noise	
chunk_010:p0015	15	1372	yes	usable_with_noise	
chunk_010:p0016	16	1410	yes	usable_with_noise	
chunk_010:p0017	17	1439	yes	usable_with_noise	
chunk_010:p0018	18	1300	yes	usable_with_noise	
chunk_010:p0019	19	1348	yes	usable_with_noise	
chunk_010:p0020	20	1491	yes	usable_with_noise	
chunk_010:p0021	21	334	yes	usable_with_noise	
chunk_010:p0022	22	1486	yes	usable_with_noise	
chunk_010:p0023	23	1373	yes	usable_with_noise	
chunk_010:p0024	24	1428	yes	usable_with_noise	
chunk_010:p0025	25	1401	yes	usable_with_noise	
chunk_010:p0026	26	1357	yes	usable_with_noise	
chunk_010:p0027	27	1386	yes	usable_with_noise	
chunk_010:p0028	28	1431	yes	usable_with_noise	
chunk_010:p0029	29	1341	yes	usable_with_noise	
chunk_010:p0030	30	1296	yes	usable_with_noise	
chunk_010:p0031	31	1379	yes	usable_with_noise	
chunk_010:p0032	32	1472	yes	usable_with_noise	
chunk_010:p0033	33	1426	yes	usable_with_noise	
chunk_010:p0034	34	1413	yes	usable_with_noise	
chunk_010:p0035	35	1511	yes	usable_with_noise	
chunk_010:p0036	36	1540	yes	usable_with_noise	
chunk_010:p0037	37	1548	yes	usable_with_noise	
chunk_010:p0038	38	1502	yes	usable_with_noise	
chunk_010:p0039	39	1561	yes	usable_with_noise	
chunk_010:p0040	40	1518	yes	usable_with_noise	
chunk_010:p0041	41	1463	yes	usable_with_noise	
chunk_010:p0042	42	1581	yes	usable_with_noise	
chunk_010:p0043	43	1473	yes	usable_with_noise	
chunk_010:p0044	44	1503	yes	usable_with_noise	
chunk_010:p0045	45	1460	yes	usable_with_noise	
chunk_010:p0046	46	1412	yes	usable_with_noise	
chunk_010:p0047	47	1478	yes	usable_with_noise	
chunk_010:p0048	48	1869	yes	usable_with_noise	
chunk_010:p0049	49	1937	yes	usable_with_noise	
chunk_010:p0050	50	1852	yes	usable_with_noise	
chunk_010:p0051	51	1307	yes	usable_with_noise	
chunk_010:p0052	52	1316	yes	usable_with_noise	
chunk_010:p0053	53	1276	yes	usable_with_noise	
chunk_010:p0054	54	1386	yes	usable_with_noise	
chunk_010:p0055	55	1465	yes	usable_with_noise	
chunk_010:p0056	56	1505	yes	usable_with_noise	
chunk_010:p0057	57	1455	yes	usable_with_noise	
chunk_010:p0058	58	1369	yes	usable_with_noise	
chunk_010:p0059	59	53	yes	verified_short_text	Short mounted label/card; baseline length is proportionate to visible text and broadly aligned.
