page_id	scan_page	baseline_chars	class	notes
chunk_013:p0001	0001	71	high-noise	large handwritten genealogical/tabular sheet; baseline captures only a tiny fraction
chunk_013:p0002	0002	5826	usable-with-noise	
chunk_013:p0003	0003	8941	usable-with-noise	
chunk_013:p0004	0004	21	high-noise	partial large genealogical/table sheet at right; baseline nearly empty and nonsensical
chunk_013:p0005	0005	2006	usable-with-noise	
chunk_013:p0006	0006	47	high-noise	dense handwritten sheets; baseline collapses to repeated nonsense
chunk_013:p0007	0007	4533	usable-with-noise	
chunk_013:p0008	0008	3158	usable-with-noise	
chunk_013:p0009	0009	1874	usable-with-noise	
chunk_013:p0010	0010	384	high-noise	mixed handwritten sheet and genealogical/table material; severe under-capture
chunk_013:p0011	0011	1248	usable-with-noise	
chunk_013:p0012	0012	2461	usable-with-noise	
chunk_013:p0013	0013	958	usable-with-noise	
chunk_013:p0014	0014	4079	usable-with-noise	
chunk_013:p0015	0015	2969	usable-with-noise	
chunk_013:p0016	0016	3433	usable-with-noise	
chunk_013:p0017	0017	2378	usable-with-noise	
chunk_013:p0018	0018	2410	usable-with-noise	
chunk_013:p0019	0019	1534	usable-with-noise	
chunk_013:p0020	0020	1565	usable-with-noise	
chunk_013:p0021	0021	1583	usable-with-noise	
chunk_013:p0022	0022	753	usable-with-noise	
chunk_013:p0023	0023	2710	usable-with-noise	
chunk_013:p0024	0024	15765	high-noise	dense mixed table/list page; pathological duplicate-table OCR expansion
chunk_013:p0025	0025	2787	usable-with-noise	
chunk_013:p0026	0026	2345	usable-with-noise	
chunk_013:p0027	0027	2158	usable-with-noise	
chunk_013:p0028	0028	1522	usable-with-noise	
chunk_013:p0029	0029	589	usable-with-noise	
chunk_013:p0030	0030	2350	usable-with-noise	
chunk_013:p0031	0031	1081	usable-with-noise	
chunk_013:p0032	0032	2328	usable-with-noise	
chunk_013:p0033	0033	2573	usable-with-noise	
chunk_013:p0034	0034	5172	usable-with-noise	
chunk_013:p0035	0035	2784	usable-with-noise	
chunk_013:p0036	0036	2174	usable-with-noise	
chunk_013:p0037	0037	2224	usable-with-noise	
chunk_013:p0038	0038	1475	usable-with-noise	
chunk_013:p0039	0039	2831	usable-with-noise	
chunk_013:p0040	0040	1268	usable-with-noise	
chunk_013:p0041	0041	2196	usable-with-noise	
chunk_013:p0042	0042	2164	usable-with-noise	
chunk_013:p0043	0043	749	usable-with-noise	
chunk_013:p0044	0044	431	usable-with-noise	
chunk_013:p0045	0045	667	usable-with-noise	
chunk_013:p0046	0046	1365	usable-with-noise	
chunk_013:p0047	0047	821	usable-with-noise	
chunk_013:p0048	0048	549	usable-with-noise	
chunk_013:p0049	0049	1645	usable-with-noise	
chunk_013:p0050	0050	887	usable-with-noise	
chunk_013:p0051	0051	872	usable-with-noise	
chunk_013:p0052	0052	899	usable-with-noise	
chunk_013:p0053	0053	2634	usable-with-noise	
chunk_013:p0054	0054	2130	usable-with-noise	
chunk_013:p0055	0055	1073	usable-with-noise	
chunk_013:p0056	0056	1442	usable-with-noise	
chunk_013:p0057	0057	1048	usable-with-noise	
chunk_013:p0058	0058	1079	usable-with-noise	
chunk_013:p0059	0059	1496	usable-with-noise	
chunk_013:p0060	0060	424	usable-with-noise	
chunk_013:p0061	0061	657	usable-with-noise	
chunk_013:p0062	0062	1420	usable-with-noise	
chunk_013:p0063	0063	484	high-noise	mounted multi-slip board; substantial under-capture and garbled mixed-language OCR
chunk_013:p0064	0064	0	blank	visually blank/no substantive text; baseline empty OCR confirmed
chunk_013:p0065	0065	350	usable-with-noise	
chunk_013:p0066	0066	283	high-noise	two handwritten/list sheets; low-coverage and largely nonsensical OCR
chunk_013:p0067	0067	0	false-empty-recovery	baseline empty, but scan contains two substantive handwritten/list sheets
chunk_013:p0068	0068	125	high-noise	two small handwritten/list sheets; baseline only 125 chars and mostly hallucinated
chunk_013:p0069	0069	183	high-noise	two handwritten/list sheets; severe under-capture / mixed-script hallucination
chunk_013:p0070	0070	62	high-noise	two handwritten/list sheets; baseline only a short number row
chunk_013:p0071	0071	604	usable-with-noise	
chunk_013:p0072	0072	425	usable-with-noise	
chunk_013:p0073	0073	655	usable-with-noise	
chunk_013:p0074	0074	0	false-empty-recovery	baseline empty, but scan contains two substantive handwritten/list sheets
chunk_013:p0075	0075	780	usable-with-noise	
chunk_013:p0076	0076	497	usable-with-noise	
chunk_013:p0077	0077	0	blank	visually blank/no substantive text; baseline empty OCR confirmed
chunk_013:p0078	0078	0	false-empty-recovery	baseline empty; scan contains a mounted board with several written slips plus an envelope/card
chunk_013:p0079	0079	0	false-empty-recovery	baseline empty; mounted board contains several substantive handwritten/printed slips
chunk_013:p0080	0080	0	blank	visually blank/no substantive text; baseline empty OCR confirmed
chunk_013:p0081	0081	1447	usable-with-noise	
chunk_013:p0082	0082	0	false-empty-recovery	baseline empty; two mounted boards contain numerous handwritten slips
chunk_013:p0083	0083	641	usable-with-noise	
chunk_013:p0084	0084	244	high-noise	mounted-slip board; severe under-capture relative to visible slips
chunk_013:p0085	0085	0	blank	visually blank/no substantive text; baseline empty OCR confirmed
chunk_013:p0086	0086	255	high-noise	mounted/loose multi-slip material; low-coverage OCR with name hallucinations
chunk_013:p0087	0087	1343	usable-with-noise	
chunk_013:p0088	0088	56	high-noise	mounted slips; baseline only 56 chars and largely unusable
chunk_013:p0089	0089	1928	usable-with-noise	
chunk_013:p0090	0090	1816	usable-with-noise	
chunk_013:p0091	0091	1825	usable-with-noise	
chunk_013:p0092	0092	1844	usable-with-noise	
chunk_013:p0093	0093	595	usable-with-noise	
chunk_013:p0094	0094	1084	usable-with-noise	
chunk_013:p0095	0095	1898	usable-with-noise	
chunk_013:p0096	0096	1794	usable-with-noise	
chunk_013:p0097	0097	18	high-noise	dense handwritten page; baseline reduces it to 'Dear Mr. S. Jones,'
chunk_013:p0098	0098	1734	usable-with-noise	
chunk_013:p0099	0099	531	usable-with-noise	
chunk_013:p0100	0100	741	usable-with-noise	
chunk_013:p0101	0101	704	usable-with-noise	
chunk_013:p0102	0102	777	usable-with-noise	
chunk_013:p0103	0103	864	usable-with-noise	
chunk_013:p0104	0104	866	usable-with-noise	
chunk_013:p0105	0105	703	usable-with-noise	
chunk_013:p0106	0106	703	usable-with-noise	
chunk_013:p0107	0107	758	usable-with-noise	
chunk_013:p0108	0108	870	usable-with-noise	
chunk_013:p0109	0109	758	usable-with-noise	
chunk_013:p0110	0110	1334	usable-with-noise	
chunk_013:p0111	0111	27	verified-short-text	short postal/form text: 'Naam en Adres des Afzenders'
chunk_013:p0112	0112	864	usable-with-noise	
chunk_013:p0113	0113	1655	usable-with-noise	
chunk_013:p0114	0114	1584	usable-with-noise	
chunk_013:p0115	0115	410	usable-with-noise	
chunk_013:p0116	0116	0	blank	visually blank/no substantive text; baseline empty OCR confirmed
chunk_013:p0117	0117	710	usable-with-noise	
chunk_013:p0118	0118	338	high-noise	double mounted-slip boards; severe under-capture
chunk_013:p0119	0119	535	high-noise	double mounted-slip boards; severe under-capture / mixed-script hallucination
chunk_013:p0120	0120	872	usable-with-noise	
chunk_013:p0121	0121	564	usable-with-noise	
chunk_013:p0122	0122	150	high-noise	double mounted-slip boards; baseline only 150 chars
chunk_013:p0123	0123	648	usable-with-noise	
chunk_013:p0124	0124	857	usable-with-noise	
chunk_013:p0125	0125	1400	usable-with-noise	
chunk_013:p0126	0126	188	high-noise	double mounted-slip boards; baseline dominated by repeated citation fragments
chunk_013:p0127	0127	145	high-noise	mounted-slip board; baseline only 145 chars and heavily garbled
chunk_013:p0128	0128	0	blank	visually blank/no substantive text; baseline empty OCR confirmed
chunk_013:p0129	0129	859	usable-with-noise	
chunk_013:p0130	0130	2000	usable-with-noise	
chunk_013:p0131	0131	354	high-noise	mounted-slip board; severe under-capture and mixed-script hallucination
chunk_013:p0132	0132	0	blank	visually blank/no substantive text; baseline empty OCR confirmed
chunk_013:p0133	0133	526	usable-with-noise	
chunk_013:p0134	0134	144	high-noise	mounted-slip board; pathological OCR repetition cleaned in v3 but still low-coverage
chunk_013:p0135	0135	0	blank	visually blank/no substantive text; baseline empty OCR confirmed
chunk_013:p0136	0136	1023	usable-with-noise	
chunk_013:p0137	0137	930	usable-with-noise	
chunk_013:p0138	0138	737	usable-with-noise	
chunk_013:p0139	0139	1	high-noise	mounted-slip board with visible text; baseline is only 'a'
