page_id	scan_layout	research_layer_status	baseline_failure_mode	secure_scan_anchors_or_notes
chunk_023:p0111	envelope + 3 handwritten research slips	VISUALLY_SEPARATED; retrieval anchors readable; full diplomatic transcription deferred	handwriting under-capture; no major recycled-print pollution on this page	three slips numbered 1–3; secure anchors include `204`, `207`, `228`, `235`, `hāsya`, `incongruity`, `absurdity`; p207 discusses expansion of a mental state excited by incongruity
chunk_023:p0112	3 recycled exhibition-card pieces on left + 3 handwritten research slips on right	VISUALLY_SEPARATED; research/support distinction secure	recycled exhibition-card text interleaved with research OCR	secure research anchors include `Suggestion, 250` and `The suggested sense comparable to an echo may arise from the power of a word, of a meaning, or of both.`
chunk_023:p0113	3 recycled exhibition-card pieces on left + 3 handwritten research slips on right	VISUALLY_SEPARATED; retrieval anchors readable	recycled exhibition-card pollution	secure anchors include numbered notes `431`, `432`, `522`, `531`, `540`, `572`; middle slip begins `the soul of poetry is suggestion`
chunk_023:p0114	3 recycled exhibition-card pieces on left + 2 handwritten research slips on right	VISUALLY_SEPARATED; research text substantive	recycled exhibition-card pollution; Sanskrit/romanized handwriting under-capture	Bharata-related notes; secure visible anchors include `Bharata`, `29, 125`, and a note on dramatic/person-character material
chunk_023:p0115	2 recycled exhibition-card pieces on left + 3 handwritten research slips on right	VISUALLY_SEPARATED; exact Sanskrit/romanized forms require close transcription	recycled exhibition-card pollution; multilingual under-capture	right-side slips numbered 11–13; dense romanized/Sanskrit dramatic-note sequence
chunk_023:p0116	3 recycled exhibition-card pieces on left + 3 handwritten research slips on right	VISUALLY_SEPARATED; exact line reading deferred	recycled exhibition-card pollution plus pathological OCR token repetition in baseline; repetition cleaned in v3	dense romanized/Sanskrit notes; scan confirms the handwritten research layer is distinct from printed support
chunk_023:p0117	2 exhibition-card pieces + 1 printed invitation/support piece on left; 3 handwritten research slips on right	VISUALLY_SEPARATED; retrieval anchors readable	printed support captured alongside research text	secure anchors include `Vidūsaka`, `Nirodha`, numbered Sanskrit-drama references, and a lower slip with character/type lists
chunk_023:p0118	2 exhibition-card pieces + 1 printed invitation/support piece on left; 3 handwritten research slips on right	VISUALLY_SEPARATED; exact transcription deferred	printed support dominates portions of baseline OCR	right-side slips visibly numbered 20, 21, 23; continuous Sanskrit/drama reference sequence
chunk_023:p0119	3 exhibition-card pieces on left + 3 handwritten research slips on right	VISUALLY_SEPARATED; retrieval anchors readable	recycled exhibition-card pollution	right-side slips numbered 24–26; secure visible anchor `vidūṣaka` on slip 25; manuscript notes remain distinct from support print
chunk_023:p0120	3 exhibition-card pieces on left + 3 handwritten research slips on right	VISUALLY_SEPARATED; exact transcription deferred	recycled exhibition-card pollution	right-side slips numbered 27–29; dense Sanskrit/drama notes, with support/research boundary visually unambiguous
chunk_023:p0121	3 exhibition-card pieces on left + 3 handwritten research slips on right	VISUALLY_SEPARATED; retrieval anchors readable	recycled exhibition-card pollution	three research slips numbered 30–32; secure Dutch anchor `wat niet voorgesteld mag worden`; continued Vidūsaka/drama references
chunk_023:p0122	3 exhibition-card pieces on left + 2 handwritten research slips on right	VISUALLY_SEPARATED; research layer materially under-represented in OCR	baseline dominated by repeated exhibition-card text	right-side slips numbered 33–34; lower slip includes grammatical/technical notes; exact reading deferred
chunk_023:p0123	2 exhibition-card pieces on left + 2 handwritten research slips on right	VISUALLY_SEPARATED; severe research-text under-capture	baseline is overwhelmingly recycled exhibition-card text and largely misses the handwritten research layer	right-side slips numbered 36–37; this page is a strong example of support-text OCR displacing the actual research notes
chunk_023:p0124	2 exhibition-card pieces on left + 2 handwritten research slips on right	VISUALLY_SEPARATED; English research excerpt substantially recoverable	printed support pollution	upper slip securely includes `the expansion of the facial muscles at something ludicrous to see or hear, is the counter part of the mental expansion which goes by the name of Hasa`; also `ludicrous actions` / `ludicrous dress` / `sentiment of Hasa`
chunk_023:p0125	2 exhibition-card pieces on left + 2 handwritten research slips on right	VISUALLY_SEPARATED; reference-list content visible	recycled exhibition-card pollution	right-side slips contain numbered cross-references and lexical/dramatic notes; full close transcription deferred
chunk_023:p0126	2 exhibition-card pieces on left + 4 handwritten research slips on right	VISUALLY_SEPARATED; retrieval structure secure	recycled exhibition-card pollution; small handwriting under-capture	four separate research slips; numerous numbered cross-references and lexical notes; support/research separation secure
chunk_023:p0127	4 exhibition-card pieces on left + 4 handwritten research slips on right	VISUALLY_SEPARATED; substantial research content survives visually	baseline heavily biased toward repeated exhibition-card text	four research slips; lower-right slip includes a visible Sanskrit/Devanagari quotation; no support print should be treated as Huizinga research prose
chunk_023:p0128	4 exhibition-card pieces on left + 4 handwritten research slips on right	VISUALLY_SEPARATED; mixed Dutch/English research notes visible	baseline heavily biased toward repeated exhibition-card text	secure English anchor on central-left research slip concerns the `quality of the ridiculous` and representation in dramatic/literary contexts; exact source attribution deferred
chunk_023:p0129	3 printed support pieces on left (exhibition/invitation material) + 3 handwritten research slips on right	VISUALLY_SEPARATED; Dutch conceptual note clearly readable in part	printed support dominates baseline OCR	upper research slip securely begins `deze vaste vergelijkingen zijn door hun veelgebruiktheid tot symbolen geworden`; middle slip headed `Spraakwoorden & vergelijkingen`; page closes the mounted-support run before p0130–p0131
