page_id	baseline_chars	structural_class	provisional_packet	visual_note
chunk_024:p0001	0	false-empty-label	Excerpts_Kern	narrow handwritten label; scan reads `Excerpts Kern`
chunk_024:p0002	143	short-cover-title	printed_Hendrik_Kern_1899	handwritten cover/title for Hendrik Kern
chunk_024:p0003	0	blank/no-substantive	divider_or_endpaper	genuine blank/endpaper/ruled sheet
chunk_024:p0004	1168	printed	printed_Hendrik_Kern_1899	printed booklet/extract; p0004-p0012 overlap chunk_023:p0179-p0187
chunk_024:p0005	3705	printed	printed_Hendrik_Kern_1899	printed booklet/extract; p0004-p0012 overlap chunk_023:p0179-p0187
chunk_024:p0006	4253	printed	printed_Hendrik_Kern_1899	printed booklet/extract; p0004-p0012 overlap chunk_023:p0179-p0187
chunk_024:p0007	4242	printed	printed_Hendrik_Kern_1899	printed booklet/extract; p0004-p0012 overlap chunk_023:p0179-p0187
chunk_024:p0008	4208	printed	printed_Hendrik_Kern_1899	printed booklet/extract; p0004-p0012 overlap chunk_023:p0179-p0187
chunk_024:p0009	4262	printed	printed_Hendrik_Kern_1899	printed booklet/extract; p0004-p0012 overlap chunk_023:p0179-p0187
chunk_024:p0010	4213	printed	printed_Hendrik_Kern_1899	printed booklet/extract; p0004-p0012 overlap chunk_023:p0179-p0187
chunk_024:p0011	4047	printed	printed_Hendrik_Kern_1899	printed booklet/extract; p0004-p0012 overlap chunk_023:p0179-p0187
chunk_024:p0012	4253	printed	printed_Hendrik_Kern_1899	printed booklet/extract; p0004-p0012 overlap chunk_023:p0179-p0187
chunk_024:p0013	4250	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0014	4143	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0015	4042	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0016	3770	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0017	4269	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0018	4148	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0019	4212	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0020	4032	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0021	4258	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0022	4080	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0023	4220	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0024	3899	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
