page_id	status	note
p0001	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0002	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0006	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0007	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0008	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0009	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0012	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0013	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0019	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0020	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0023	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0024	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0026	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0027	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0028	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0031	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0033	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0037	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0042	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0045	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0047	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0048	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0049	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0050	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0053	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0054	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0057	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0058	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0060	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0064	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
