page_span	ocr_signal	class	segment	flags
p0041	prior_pathology_control	high-noise-layout-risk	S1_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;mixed_script_hallucination_control;invented_table_semantics_control
p0042-p0045	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions
p0046	prior_blank_control	blank-no-substantive-visual	S1_p0041-p0080	visual_checked;visual_blank_or_no_substantive;prior_control
p0047-p0048	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions
p0049	prior_minimal_control	short-text-or-nontext	S1_p0041-p0080	visual_checked;small_source_region;minimal_text;prior_control
p0050-p0051	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions
p0052	prior_blank_control	blank-no-substantive-visual	S1_p0041-p0080	visual_checked;visual_blank_or_no_substantive;prior_control
p0053-p0055	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions
p0056	prior_blank_control	blank-no-substantive-visual	S1_p0041-p0080	visual_checked;visual_blank_or_no_substantive;prior_control
p0057-p0059	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions
p0060	prior_blank_control	blank-no-substantive-visual	S1_p0041-p0080	visual_checked;visual_blank_or_no_substantive;prior_control
p0061-p0064	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions
p0065-p0067	not_crosschecked_in_this_round	usable-with-noise-visual	S1_p0041-p0080	visual_checked;full_sheet_or_notebook
p0068	prior_minimal_control	short-text-or-nontext	S1_p0041-p0080	visual_checked;small_source_region;minimal_text;prior_control
p0069	not_crosschecked_in_this_round	short-text-or-nontext	S1_p0041-p0080	visual_checked;small_source_region;minimal_text
p0070	not_crosschecked_in_this_round	usable-with-noise-visual	S1_p0041-p0080	visual_checked;full_sheet_or_notebook
p0071	prior_blank_control	blank-no-substantive-visual	S1_p0041-p0080	visual_checked;visual_blank_or_no_substantive;prior_control
p0072	not_crosschecked_in_this_round	short-text-or-nontext	S1_p0041-p0080	visual_checked;small_source_region;minimal_text
p0073-p0080	not_crosschecked_in_this_round	usable-with-noise-visual	S1_p0041-p0080	visual_checked;printed_or_clipping_source
p0081-p0082	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions
p0083-p0086	not_crosschecked_in_this_round	usable-with-noise-visual	S2_p0081-p0120	visual_checked;printed_or_clipping_source
p0087-p0090	not_crosschecked_in_this_round	short-text-or-nontext	S2_p0081-p0120	visual_checked;small_source_region;minimal_text
p0091-p0093	not_crosschecked_in_this_round	usable-with-noise-visual	S2_p0081-p0120	visual_checked;full_sheet_or_notebook
p0094	high_resolution_blank_control	blank-no-substantive-visual	S2_p0081-p0120	visual_checked;visual_blank_or_no_substantive;high_resolution_blank_control
p0095-p0097	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0098	not_crosschecked_in_this_round	usable-with-noise-visual	S2_p0081-p0120	visual_checked;full_sheet_or_notebook
p0099	not_crosschecked_in_this_round	blank-no-substantive-visual	S2_p0081-p0120	visual_checked;visual_blank_or_no_substantive
p0100-p0103	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0104-p0105	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions
p0106	not_crosschecked_in_this_round	blank-no-substantive-visual	S2_p0081-p0120	visual_checked;visual_blank_or_no_substantive
p0107-p0109	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
