page_span	ocr_signal	class	segment	flags
p0001	high_resolution_blank_control	blank-no-substantive-visual	S0_p0001-p0040	visual_checked;visual_blank_or_no_substantive;high_resolution_blank_control
p0002-p0005	not_crosschecked_in_this_round	high-noise-layout-risk	S0_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0006	not_crosschecked_in_this_round	blank-no-substantive-visual	S0_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0007	not_crosschecked_in_this_round	high-noise-layout-risk	S0_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0008	not_crosschecked_in_this_round	short-text-or-nontext	S0_p0001-p0040	visual_checked;small_source_region;minimal_text;sparse_card_or_envelope
p0009	not_crosschecked_in_this_round	blank-no-substantive-visual	S0_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0010-p0011	not_crosschecked_in_this_round	high-noise-layout-risk	S0_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0012	not_crosschecked_in_this_round	usable-with-noise-visual	S0_p0001-p0040	visual_checked;printed_or_clipping_source
p0013	not_crosschecked_in_this_round	blank-no-substantive-visual	S0_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0014-p0016	not_crosschecked_in_this_round	high-noise-layout-risk	S0_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0017-p0018	not_crosschecked_in_this_round	usable-with-noise-visual	S0_p0001-p0040	visual_checked;printed_or_clipping_source
p0019	not_crosschecked_in_this_round	blank-no-substantive-visual	S0_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0020-p0026	not_crosschecked_in_this_round	high-noise-layout-risk	S0_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0027	not_crosschecked_in_this_round	blank-no-substantive-visual	S0_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0028-p0029	not_crosschecked_in_this_round	high-noise-layout-risk	S0_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0030	not_crosschecked_in_this_round	blank-no-substantive-visual	S0_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0031-p0033	not_crosschecked_in_this_round	high-noise-layout-risk	S0_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0034	not_crosschecked_in_this_round	blank-no-substantive-visual	S0_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0035-p0040	not_crosschecked_in_this_round	high-noise-layout-risk	S0_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0161	high_resolution_blank_control	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive;high_resolution_blank_control
p0162-p0163	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0164	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0165-p0166	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0167	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0168	not_crosschecked_in_this_round	short-text-or-nontext	S5_p0161-p0200	visual_checked;small_source_region;minimal_text;envelope_or_small_note
p0169	not_crosschecked_in_this_round	short-text-or-nontext	S5_p0161-p0200	visual_checked;small_source_region;minimal_text;envelope_or_small_note
p0170-p0174	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0175	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0176-p0178	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0179	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0180-p0184	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0185	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0186	not_crosschecked_in_this_round	short-text-or-nontext	S5_p0161-p0200	visual_checked;small_source_region;minimal_text;envelope_or_small_note
p0187	not_crosschecked_in_this_round	short-text-or-nontext	S5_p0161-p0200	visual_checked;small_source_region;minimal_text;envelope_or_small_note
p0188-p0192	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0193-p0194	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0195-p0196	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0197	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0198-p0199	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0200	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
