page_id	ocr_signal	class	segment	flags
p0121	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0122	not_crosschecked_in_this_round	blank-no-substantive-visual	P2_p0121-p0160	visual_checked;visual_blank_or_no_substantive
p0123	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0124	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0125	prior_blank_control	blank-no-substantive-visual	P2_p0121-p0160	visual_checked;visual_blank_or_no_substantive;high_resolution_blank_control
p0126	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0127	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0128	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0129	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0130	not_crosschecked_in_this_round	blank-no-substantive-visual	P2_p0121-p0160	visual_checked;visual_blank_or_no_substantive
p0131	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0132	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0133	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0134	not_crosschecked_in_this_round	blank-no-substantive-visual	P2_p0121-p0160	visual_checked;visual_blank_or_no_substantive
p0135	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0136	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0137	not_crosschecked_in_this_round	blank-no-substantive-visual	P2_p0121-p0160	visual_checked;visual_blank_or_no_substantive
p0138	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0139	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0140	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0141	not_crosschecked_in_this_round	blank-no-substantive-visual	P2_p0121-p0160	visual_checked;visual_blank_or_no_substantive
p0142	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0143	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0144	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0145	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0146	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0147	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0148	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0149	not_crosschecked_in_this_round	blank-no-substantive-visual	P2_p0121-p0160	visual_checked;visual_blank_or_no_substantive
p0150	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0151	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0152	not_crosschecked_in_this_round	blank-no-substantive-visual	P2_p0121-p0160	visual_checked;visual_blank_or_no_substantive
p0153	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0154	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0155	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0156	not_crosschecked_in_this_round	blank-no-substantive-visual	P2_p0121-p0160	visual_checked;visual_blank_or_no_substantive
p0157	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0158	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0159	not_crosschecked_in_this_round	high-noise-layout-risk	P2_p0121-p0160	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0160	not_crosschecked_in_this_round	blank-no-substantive-visual	P2_p0121-p0160	visual_checked;visual_blank_or_no_substantive
