page_span	ocr_signal	class	segment	flags
p0001	not_crosschecked_in_this_round	blank-no-substantive-visual	S1_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0002-p0004	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0005	not_crosschecked_in_this_round	blank-no-substantive-visual	S1_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0006-p0007	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0008	not_crosschecked_in_this_round	blank-no-substantive-visual	S1_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0009-p0011	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0012	not_crosschecked_in_this_round	blank-no-substantive-visual	S1_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0013	selective_high_resolution_visual_control	short-text-or-nontext	S1_p0001-p0040	visual_checked;envelope_or_file_object;minimal_label_text;short_nontext_control
p0014-p0017	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0018	not_crosschecked_in_this_round	blank-no-substantive-visual	S1_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0019-p0021	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0022	not_crosschecked_in_this_round	blank-no-substantive-visual	S1_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0023-p0027	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0028	not_crosschecked_in_this_round	blank-no-substantive-visual	S1_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0029-p0032	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0033	not_crosschecked_in_this_round	blank-no-substantive-visual	S1_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0034-p0039	not_crosschecked_in_this_round	high-noise-layout-risk	S1_p0001-p0040	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0040	not_crosschecked_in_this_round	blank-no-substantive-visual	S1_p0001-p0040	visual_checked;visual_blank_or_no_substantive
p0041-p0043	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0044	not_crosschecked_in_this_round	blank-no-substantive-visual	S2_p0041-p0080	visual_checked;visual_blank_or_no_substantive
p0045-p0047	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0048	not_crosschecked_in_this_round	blank-no-substantive-visual	S2_p0041-p0080	visual_checked;visual_blank_or_no_substantive
p0049-p0050	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0051	not_crosschecked_in_this_round	blank-no-substantive-visual	S2_p0041-p0080	visual_checked;visual_blank_or_no_substantive
p0052-p0054	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0055	selective_high_resolution_visual_control	usable-with-noise-visual	S2_p0041-p0080	visual_checked;two_large_handwritten_linear_sheets;rotation_risk;retrieval_usable_with_noise
p0056	not_crosschecked_in_this_round	blank-no-substantive-visual	S2_p0041-p0080	visual_checked;visual_blank_or_no_substantive
p0057-p0060	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0061	not_crosschecked_in_this_round	blank-no-substantive-visual	S2_p0041-p0080	visual_checked;visual_blank_or_no_substantive
p0062-p0071	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0072	not_crosschecked_in_this_round	blank-no-substantive-visual	S2_p0041-p0080	visual_checked;visual_blank_or_no_substantive
p0073-p0078	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0079	not_crosschecked_in_this_round	blank-no-substantive-visual	S2_p0041-p0080	visual_checked;visual_blank_or_no_substantive
p0080	not_crosschecked_in_this_round	high-noise-layout-risk	S2_p0041-p0080	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0081-p0085	not_crosschecked_in_this_round	high-noise-layout-risk	S3_p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0086	not_crosschecked_in_this_round	blank-no-substantive-visual	S3_p0081-p0120	visual_checked;visual_blank_or_no_substantive
p0087-p0095	not_crosschecked_in_this_round	high-noise-layout-risk	S3_p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0096	not_crosschecked_in_this_round	blank-no-substantive-visual	S3_p0081-p0120	visual_checked;visual_blank_or_no_substantive
p0097-p0099	not_crosschecked_in_this_round	high-noise-layout-risk	S3_p0081-p0120	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0100-p0118	selective_high_resolution_visual_control	usable-with-noise-visual	S3_p0081-p0120	visual_checked;large_linear_printed_catalog_or_clipping_pages;clear_internal_reading_order;retrieval_usable_with_noise
p0119-p0120	selective_high_resolution_visual_control	usable-with-noise-visual	S3_p0081-p0120	visual_checked;page_scale_typed_linear_manuscript;faint_text;retrieval_usable_with_noise
p0161	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0162-p0164	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0165	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0166-p0167	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0168	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0169-p0170	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0171	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0172-p0173	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_text_fragments;fragmentation_and_rotation_risk;dark_mounting_board
p0174	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0175-p0176	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0177	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0178	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;dark_mounting_board
p0179-p0180	selective_high_resolution_visual_control	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;blank_strips_or_blank_source_card;no_substantive_text
p0181-p0182	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0183	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0184-p0186	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;small_source_regions;dark_mounting_board
p0187	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0188-p0189	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;mounted_slip_or_composite_layout;reading_order_risk;dark_mounting_board
p0190	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
p0191	selective_high_resolution_visual_control	usable-with-noise-visual	S5_p0161-p0200	visual_checked;large_linear_handwritten_sheet_and_list;clear_top_to_bottom_order;retrieval_usable_with_noise
p0192-p0194	not_crosschecked_in_this_round	high-noise-layout-risk	S5_p0161-p0200	visual_checked;large_regions_but_multi_board_or_composite_layout;reading_order_risk;handwriting
p0195	not_crosschecked_in_this_round	blank-no-substantive-visual	S5_p0161-p0200	visual_checked;visual_blank_or_no_substantive
