page	pdf	verification	json_action	note
p0121	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0122	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0123	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0124	chunk_068__p0121-0160.pdf	checked_against_original_pdf	drop_block	corrected JSON and audit ledger updated
p0125	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0126	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0127	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0128	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0129	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0130	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0131	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0132	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0133	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0134	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0135	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0136	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0137	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0138	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0139	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0140	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0141	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0142	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0143	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0144	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0145	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0146	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0147	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0148	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0149	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0150	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0151	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0152	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0153	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0154	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
