page	block_count	page_text_chars
1	1	259
2	12	1252
3	3	2227
4	5	2176
5	7	6019
6	8	2211
7	7	1892
8	10	1935
9	14	1956
10	15	2028
11	17	1700
12	17	1679
13	15	1406
14	38	1838
15	20	1166
16	17	1740
17	13	2117
18	28	1631
19	14	1828
20	27	5820
21	21	1657
22	43	1967
23	25	1651
24	45	2050
25	17	1888
26	54	2017
27	18	1884
28	48	5985
29	20	1622
30	10	1992
31	10	2199
32	16	1866
33	17	1913
34	22	1636
35	19	1594
36	20	1641
37	20	1670
38	32	1615
39	28	1488
40	33	1812
41	31	1310
42	13	1548
43	1	255
44	1	259
45	13	1623
46	3	2496
47	9	2385
48	5	2443
49	6	2366
50	2	2502
51	4	1531
52	5	2470
53	9	2330
54	5	2300
55	5	2248
56	3	2256
57	7	2316
58	4	2189
59	4	2216
60	8	2224
61	10	2184
62	7	2235
63	3	1970
64	3	2061
65	4	2082
66	8	2307
67	3	1709
68	5	5613
69	5	2023
70	6	2187
71	9	2219
72	4	4954
73	7	2052
74	7	1975
75	6	1993
76	4	1932
77	8	2052
78	6	2006
79	4	2139
80	5	2165
81	6	2055
82	10	2142
83	12	2124
84	1	255
85	1	261
86	7	1258
87	11	2770
88	18	1894
89	7	370
90	56	3031
91	16	1828
92	8	1654
93	22	1775
94	15	1446
95	16	1852
96	19	1684
97	22	1345
98	6	398
99	0	0
100	2	28
101	0	0
102	0	0
103	1	259
104	1	257
105	6	1028
106	5	1284
107	2	1336
108	4	1380
109	7	1395
110	4	1346
111	4	1253
112	2	1253
113	10	1312
114	8	1293
115	7	1245
116	5	1266
117	4	1381
118	6	1375
119	6	1399
120	13	1246
121	9	869
122	0	0
123	1	53513
124	0	0
125	3	1324
126	3	1281
127	3	1263
128	3	1191
129	4	1235
130	4	1264
131	4	1206
132	5	1269
133	7	1252
134	9	1303
135	1	194
136	1	4243
137	0	0
138	1	261
139	1	266
140	6	1361
141	7	2073
142	12	2041
143	9	2257
144	12	2034
145	5	3609
146	8	5844
147	14	1514
148	12	2300
149	17	1952
150	5	7830
151	14	2151
152	13	1533
153	22	1740
154	14	1269
155	17	1348
156	8	1907
157	10	1976
158	6	5352
159	9	2109
160	13	2028
161	13	1980
162	10	2010
163	10	1224
164	5	1771
165	7	1961
166	8	1834
167	17	1861
168	6	1997
169	8	1974
170	9	1669
171	26	1604
172	36	1755
173	15	1809
174	29	1745
175	10	1692
176	8	1664
177	14	1640
178	33	1334
179	12	6391
180	24	1483
181	14	1469
182	35	1709
183	26	1658
184	40	1667
185	15	1037
186	1	261
